trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-125.86900612416626,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-53.89583124632322,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-198.29982911421612,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-96.12340061002094,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-203.74454768891013,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-30.040546255577123,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-228.60509576848332,"{0: 15, 1: 5, 2: 4, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,11.67408183284188,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-52.93818463418187,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-70.97164022483439,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-198.6529319779641,"{0: 14, 1: 7, 2: 4, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,9,-13.29516307937638,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-15.871078705689873,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-83.95716329173587,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,5,-1.7168284430159757,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-115.64285667670896,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,10,-106.40678164847736,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-4.0974469183510855,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,20,3.4522091150510184,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,17,-39.289902756486455,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,16,7.807831918952062,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,16,-44.81226131217736,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-42.07069923312588,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,8,-58.243139964293945,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",25,0,-89.2145111767381,"{0: 18, 1: 3, 2: 0, 3: 3, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,11,14.856247191023694,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,2,-65.95841416507287,"{0: 13, 1: 7, 2: 1, 3: 2, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,-12.055986591871948,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,20.08589951268,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,20.902694071312638,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
