trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-110.00135628716333,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-188.134225256723,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-118.21002489192236,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-59.684053335682094,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-56.43922519974314,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-89.83408891903869,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-70.77388661290826,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-171.25538401125993,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-89.04484464911016,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",35,0,-100.03912569935683,"{0: 24, 1: 1, 2: 7, 3: 3, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-164.16009564472034,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-74.8266531274299,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-1.2108874759768367,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",30,0,-69.01343960480762,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-65.24844004545669,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-123.92034840816396,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-92.10194533851801,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-106.24448641373172,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",30,0,-224.83205954178192,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",30,0,-277.7905111373115,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 5}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-42.43630968880729,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-57.0061263240666,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-76.02709156513212,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,0,-29.200356968283305,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,0,-11.774029190709632,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-93.91780490119419,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,0,-95.59915928227076,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,8,-51.30488557110798,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",20,0,-126.19137519547255,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-54.662287645930626,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",25,0,-67.19832391003628,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",30,0,-127.59043372327088,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",30,0,-39.96400642623192,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",20,6,-15.864357849570581,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-75.83571230371498,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,8.241767997359656,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",25,9,-27.42471413628875,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",30,0,-183.76315165015657,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,18,1.0929195792624111,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",25,0,-114.99536496358603,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,0,-118.24735554312043,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,16,8.369203811865606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,13,7.010399695329954,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-101.48815580910315,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,0,-116.80677956811233,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,11,-18.940714215125645,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-59.0429100922969,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",30,0,-159.40522669236154,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,5,-25.8609883788365,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-96.13826415009208,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,0,-102.53100999160677,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",35,0,-136.29538191194587,"{0: 25, 1: 4, 2: 3, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-94.24713023454277,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,16.533801082040657,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
