trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,0,-29.525827345685524,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.5}",25,0,-133.7711504471447,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5}",30,0,-88.5437854184452,"{0: 20, 1: 5, 2: 2, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.5}",25,4,-80.5471836760819,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.5}",20,0,-130.45807022996163,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.5}",20,4,-112.85969242789945,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.5}",20,0,-42.98958776755768,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5}",30,0,-165.10612659007614,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5}",20,0,-124.93397669982818,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5}",30,21,-39.85357528031574,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5}",20,0,-65.23770534125204,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5}",20,0,-53.092703262982496,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5}",25,0,-142.33908573999827,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.5}",30,0,-141.43978872003007,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.5}",30,0,-271.63606257583433,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.5}",30,0,-125.0625462870367,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.5}",25,0,-88.56582919905473,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.5}",25,0,-161.1009033064358,"{0: 11, 1: 5, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.5}",30,0,-72.40352182021674,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.5}",25,0,-125.37733982905752,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-146.55581993685135,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-30.81085925416693,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-158.82229606025828,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-212.81995252279333,"{0: 13, 1: 5, 2: 8, 3: 2, 4: 2}",0
